iter	Passed	Remaining
0	237	237746
1	289	144357
2	348	115706
3	395	98511
4	438	87298
5	487	80693
6	538	76320
7	597	74100
8	641	70658
9	691	68451
10	755	67948
11	797	65649
12	838	63667
13	898	63273
14	985	64714
15	1041	64071
16	1090	63042
17	1137	62047
18	1183	61105
19	1231	60339
20	1276	59498
21	1317	58556
22	1362	57897
23	1418	57671
24	1471	57402
25	1533	57457
26	1579	56909
27	1630	56618
28	1686	56475
29	1745	56445
30	1795	56122
31	1864	56387
32	1932	56619
33	1987	56476
34	2049	56497
35	2107	56421
36	2166	56379
37	2212	56023
38	2271	55974
39	2334	56036
40	2395	56034
41	2446	55802
42	2486	55339
43	2525	54879
44	2580	54774
45	2621	54373
46	2664	54033
47	2707	53703
48	2762	53619
49	2812	53432
50	2856	53153
51	2895	52792
52	2945	52633
53	2986	52318
